ticket_id,subject,description,category,priority,sentiment,environment,channel,region,assigned_team,customer_tier,resolution_time_hours,created_at
3810,Installation failed,"The issue appears to be intermittent. the setup fails on one server while succeeding on another. The affected environment is testing, and multiple teams are affected. the team has a temporary workaround. the issue causes inconvenience but work can continue. The customer is asking for recommended next steps.",Software Installation,Low,Very Negative,Testing,Chat,Asia Pacific,Platform Engineering,Enterprise,77,2025-10-04 21:52:00
3811,Port connection failure,Our support team observed that the API host responds to ping but the application request fails. service can continue with reduced functionality. the impact is manageable at the moment. the security impact is still being assessed. The behavior can be reproduced.,Network,Medium,Negative,Production,Phone,Europe,Network Operations,Premium,51,2025-04-14 11:25:00
3812,User cannot access feature,"The issue appears to be intermittent. the user can sign in but cannot open the required feature. The affected environment is testing, and several users reported the behavior. the available workaround does not work consistently. the impact is manageable at the moment.",Account Access,Low,Negative,Testing,Web Form,Europe,Access Management,Standard,94,2025-03-27 12:41:00
3813,High network latency,"Please review this issue. connections to the required port time out. The affected environment is testing, and hundreds of users may be impacted. the available workaround does not work consistently. there is no confirmed security impact. A restart was attempted without a clear improvement.",Network,High,Very Negative,Testing,Web Form,Asia Pacific,Infrastructure Support,Premium,8,2024-12-21 16:33:00
3814,Package setup error,"The customer reported that the setup fails on one server while succeeding on another. The affected environment is development, and hundreds of users may be impacted. the team cannot currently bypass the issue. a critical business process is unavailable. Logs are available if needed.",Software Installation,Critical,Very Negative,Development,Web Form,Asia Pacific,Platform Engineering,Premium,8,2025-10-31 03:30:00
3815,suspicious login activity,"The issue appears to be intermittent. logs suggest that information may have been exposed. The affected environment is staging, and several users reported the behavior. normal operations cannot continue through an alternate path. the issue causes inconvenience but work can continue. the behavior may require a security review.",Security,Critical,Negative,Staging,Chat,Middle East,Cybersecurity,Standard,3,2025-05-02 11:00:00
3816,Configuration guidance,"The issue appears to be intermittent. the customer is looking for guidance before making a change. The affected environment is staging, and the issue affects users across the organization. a workaround is available but adds manual steps. the request is mainly for planning purposes. The team is still collecting additional details.",General Inquiry,Low,Neutral,Staging,Web Form,Asia Pacific,Technical Support,Enterprise,50,2025-07-03 21:26:00
3817,Account lockout,"Please review this issue. the token import completed but verification still fails. The affected environment is disaster recovery, and the issue affects users across the organization. a workaround is available but adds manual steps. there is little or no immediate business impact. no suspicious activity has been verified. No recent application change has been confirmed.",Authentication,High,Negative,Disaster Recovery,Web Form,Europe,Identity Support,Standard,9,2025-08-27 06:20:00
3818,Suspicious login activity,"The customer reported that the configuration may not match the current policy. The affected environment is production, and a large user group is affected. a workaround is available but adds manual steps. a limited workflow is delayed. the event could require incident response. The team is still collecting additional details.",Security,Critical,Negative,Production,API,Latin America,Cybersecurity,Standard,14,2025-03-06 04:55:00
3819,Documentation request,The customer reported that the customer is looking for guidance before making a change. no reliable workaround has been identified. the outage is preventing essential work. The behavior can be reproduced.,General Inquiry,High,Very Negative,Production,API,Europe,Customer Success,Standard,25,2024-11-26 14:58:00
3820,New account inactive,"The issue appears to be intermittent. the new account exists but remains inactive. The affected environment is staging, and one test account is affected. users can continue by using an alternate process. the issue causes inconvenience but work can continue. No recent application change has been confirmed.",Account Access,Low,Negative,Staging,Email,Asia Pacific,Access Management,Enterprise,82,2025-10-11 18:05:00
3821,Package setup error,"During troubleshooting, we confirmed that the installer reports a permissions-related error. The affected environment is production, and a small number of users are affected. users can continue by using an alternate process. No recent application change has been confirmed.",Software Installation,High,Very Negative,Production,Chat,Middle East,Platform Engineering,Premium,26,2024-09-13 09:21:00
3822,Best-practice request,"During troubleshooting, we confirmed that best-practice recommendations are requested. The affected environment is testing, and multiple teams are affected. an important business process is delayed. the behavior may require a security review. The customer is asking for recommended next steps.",General Inquiry,Low,Neutral,Testing,Chat,Asia Pacific,Customer Success,Standard,78,2025-05-18 18:35:00
3823,Packet loss reported,"the API host responds to ping but the application request fails. The affected environment is staging, and dozens of users are affected. the team has a temporary workaround. operations are severely disrupted. The customer is asking for recommended next steps.",Network,Medium,Negative,Staging,Email,North America,Network Operations,Standard,23,2024-06-04 20:04:00
3824,Performance degraded,"Please review this issue. login succeeds but takes noticeably longer. The affected environment is development, and multiple teams are affected. the team cannot currently bypass the issue. the impact is manageable at the moment. No recent application change has been confirmed.",Performance,Medium,Negative,Development,Email,Middle East,Application Support,Premium,20,2024-03-24 15:41:00
3825,Delayed login,"Please review this issue. login succeeds but takes noticeably longer. The affected environment is production, and one user is affected. the available workaround does not work consistently. the issue causes inconvenience but work can continue. The customer is asking for recommended next steps.",Performance,High,Negative,Production,Email,Asia Pacific,Application Support,Standard,14,2025-03-28 21:31:00
3826,Suspicious login activity,"During troubleshooting, we confirmed that the certificate is close to expiry or is no longer trusted. The affected environment is development, and dozens of users are affected. no reliable workaround has been identified. the request is mainly for planning purposes. security monitoring indicates elevated risk. The customer is asking for recommended next steps.",Security,High,Negative,Development,Email,Middle East,Cybersecurity,Enterprise,10,2024-05-02 11:09:00
3827,Patch deployment issue in one location,"The issue appears to be intermittent. the upgrade rolls back during service startup. The affected environment is staging, and multiple teams are affected. service can continue with reduced functionality. operations are severely disrupted. the issue is currently considered operational. Initial troubleshooting results are inconclusive. The customer is asking for recommended next steps.",Software Installation,High,Positive,Staging,Web Form,Middle East,Platform Engineering,Premium,12,2024-01-07 11:30:00
3828,Certificate warning in one location,"an administrator account was not recognized by the operations team. The affected environment is disaster recovery, and hundreds of users may be impacted. normal operations cannot continue through an alternate path. the issue does not currently block normal work. No recent application change has been confirmed.",Security,Critical,Negative,Disaster Recovery,API,Europe,Security Operations,Standard,7,2024-08-20 10:46:00
3829,Login issue,"the account locks after repeated attempts. The affected environment is production, and one user is affected. normal operations cannot continue through an alternate path. a limited workflow is delayed. The customer is asking for recommended next steps.",Authentication,Critical,Negative,Production,Email,North America,MFA Operations,Enterprise,2,2024-09-27 14:56:00
3830,privilege change not reflected,"another user with the same role is not affected. The affected environment is production, and several users reported the behavior. users can continue by using an alternate process. several business activities are affected. Logs are available if needed.",Account Access,High,Negative,Production,Phone,Middle East,Access Management,Standard,13,2026-03-11 23:12:00
3831,High CPU usage,Our support team observed that memory consumption grows until the service is restarted. the team has a temporary workaround. an important business process is delayed. The team is still collecting additional details.,Performance,Medium,Very Negative,Staging,Email,Europe,Performance Engineering,Standard,34,2025-11-25 20:33:00
3832,Group membership issue,"The customer reported that the user can sign in but cannot open the required feature. The affected environment is production, and several users reported the behavior. the team has a temporary workaround. several business activities are affected. the issue is currently considered operational. A restart was attempted without a clear improvement.",Account Access,High,Negative,Production,Email,North America,Application Support,Standard,8,2025-11-01 20:01:00
3833,Intermittent login failure,"Please review this issue. the identity provider response is delayed. The affected environment is staging, and most users are affected. the team has a temporary workaround. the impact is manageable at the moment. The behavior can be reproduced.",Authentication,Medium,Very Negative,Staging,Web Form,North America,MFA Operations,Premium,40,2025-12-26 14:51:00
3834,Upgrade problem,"Our support team observed that the upgrade rolls back during service startup. The affected environment is production, and one user is affected. the team has a temporary workaround. the request is mainly for planning purposes. the issue is currently considered operational. Logs are available if needed.",Software Installation,Low,Neutral,Production,Web Form,Latin America,Platform Engineering,Standard,150,2025-01-16 03:38:00
3835,Packet loss reported,"Our support team observed that the API host responds to ping but the application request fails. The affected environment is production, and several users reported the behavior. no reliable workaround has been identified. the request is mainly for planning purposes. Logs are available if needed.",Network,Critical,Very Negative,Production,Email,North America,Infrastructure Support,Premium,4,2025-04-15 10:24:00
3836,Possible data exposure,"Please review this issue. the account was used outside its typical pattern. The affected environment is production, and dozens of users are affected. users can continue by using an alternate process. the issue causes inconvenience but work can continue. there is a possible compliance concern. The customer is asking for recommended next steps.",Security,High,Negative,Production,API,Latin America,Cybersecurity,Premium,23,2024-07-17 21:19:00
3837,Certificate warning,"We need help investigating. several login attempts originated from an unfamiliar address. The affected environment is production, and one test account is affected. a workaround is available but adds manual steps. a limited workflow is delayed. security monitoring indicates elevated risk. The behavior can be reproduced.",Security,Critical,Very Negative,Production,Web Form,Middle East,Cybersecurity,Enterprise,16,2024-09-29 00:53:00
3838,Training material request,"We need help investigating. documentation is needed for an upcoming implementation. The affected environment is staging, and hundreds of users may be impacted. the team has a temporary workaround. the issue causes inconvenience but work can continue. the issue is currently considered operational. The behavior can be reproduced.",General Inquiry,Low,Negative,Staging,Phone,Middle East,Customer Success,Standard,49,2025-03-02 22:26:00
3839,unexpected admin account,"endpoint security raised an alert on the server. The affected environment is production, and one user is affected. a workaround is available but adds manual steps. the issue causes inconvenience but work can continue. there is a possible compliance concern. Logs are available if needed.",Security,Medium,Very Negative,Production,Email,Europe,Security Operations,Premium,53,2024-08-24 15:48:00
3840,Certificate warning,"Our support team observed that a scanner reported a finding that requires review. The affected environment is staging, and a small number of users are affected. no reliable workaround has been identified. an important business process is delayed. security monitoring indicates elevated risk. No recent application change has been confirmed.",Security,Critical,Very Negative,Staging,Chat,Europe,Cybersecurity,Enterprise,6,2026-02-23 21:14:00
3841,Best-practice request,"Please review this issue. the customer wants to confirm support for a particular use case. The affected environment is production, and multiple teams are affected. the team cannot currently bypass the issue. an important business process is delayed. The behavior can be reproduced.",General Inquiry,Critical,Very Negative,Production,Email,Asia Pacific,Customer Success,Enterprise,4,2026-02-10 21:31:00
3842,Client setup blocked,"Our support team observed that the upgrade rolls back during service startup. The affected env is production, and several users reported the behavior. service can continue with reduced functionality. the request is mainly for planning purposes. the issue is currently considered operational. No recent application change has been confirmed.",Software Installation,Medium,Neutral,Production,Email,North America,Application Support,Standard,59,2025-08-17 14:05:00
3843,security scan finding,"Our support team observed that the configuration may not match the current policy. The affected environment is staging, and dozens of users are affected. the team has a temporary workaround. several business activities are affected. the security impact is still being assessed. The customer is asking for recommended next steps.",Security,High,Very Negative,Staging,Email,Asia Pacific,Security Operations,Standard,8,2024-01-01 09:54:00
3844,Intermittent login failure - follow up,"We need help investigating. the authentication code is rejected even though it is current. The affected environment is production, and hundreds of users may be impacted. no reliable workaround has been identified. the impact is manageable at the moment. The behavior can be reproduced.",Authentication,Critical,Negative,Production,Email,Middle East,MFA Operations,Standard,9,2025-08-19 07:54:00
3845,Security scan finding,"During troubleshooting, we confirmed that the account was used outside its typical pattern. The affected environment is prod, and one test account is affected. the available workaround does not work consistently. operations are severely disrupted. no suspicious activity has been verified. No recent application change has been confirmed.",Security,Critical,Negative,Production,Phone,Europe,Cybersecurity,Premium,3,2026-07-01 19:30:00
3846,suspicious login activity,"We need help investigating. a scanner reported a finding that requires review. The affected environment is staging, and the issue affects users across the organization. normal operations cannot continue through an alternate path. operations are severely disrupted. the behavior may require a security review.",Security,Critical,Very Negative,Staging,Web Form,Asia Pacific,Security Operations,Standard,4,2025-03-09 12:26:00
3847,Dependency missing,"We need help investigating. the upgrade rolls back during service startup. The affected environment is production, and one test account is affected. normal operations cannot continue through an alternate path. the issue causes inconvenience but work can continue. the issue is currently considered operational.",Software Installation,High,Negative,Production,Chat,Europe,Application Support,Standard,14,2025-04-04 00:15:00
3848,Service host unreachable after change,"traffic succeeds internally but fails from another network segment. The affected environment is testing, and a single administrator is affected. no reliable workaround has been identified. several business activities are affected. The customer could not confirm whether all locations are affected. Logs are available if needed.",Network,High,Negative,Testing,Web Form,North America,Infrastructure Support,Premium,29,2024-02-06 05:38:00
3849,Installation failed since yesterday,the upgrade rolls back during service startup. service can continue with reduced functionality. there is little or no immediate business impact. The customer is asking for recommended next steps.,Software Installation,High,Negative,Production,Email,Middle East,Application Support,Enterprise,15,2025-11-07 18:12:00
3850,Suspicious login activity,"several login attempts originated from an unfamiliar address. The affected environment is development, and one test account is affected. a workaround is available but adds manual steps. the issue causes inconvenience but work can continue. the event could require incident response. The issue was seen before but resolved without a confirmed cause.",Security,Medium,Very Negative,Development,Web Form,North America,Cybersecurity,Standard,77,2025-10-30 07:39:00
3851,Possible data exposure,"Please review this issue. the account was used outside its typical pattern. The affected environment is production, and several users reported the behavior. the team has a temporary workaround. the outage is preventing essential work. the issue may expose sensitive information. No recent application change has been confirmed.",Security,Critical,Negative,Production,Web Form,Europe,Security Operations,Premium,3,2026-04-14 13:15:00
3852,Unexpected admin account,"The issue appears to be intermittent. a scanner reported a finding that requires review. The affected environment is testing, and dozens of users are affected. users can continue by using an alternate process. there is little or no immediate business impact. security monitoring indicates elevated risk. The behavior can be reproduced.",Security,Medium,Negative,Testing,Email,Europe,Security Operations,Premium,33,2024-12-20 06:28:00
3853,SSO redirect loop after change,"During troubleshooting, we confirmed that the browser returns to the sign-in page after SSO. The affected environment is development, and several users reported the behavior. the team has a temporary workaround. a limited workflow is delayed. no suspicious activity has been verified. Logs are available if needed.",Authentication,Low,Neutral,Development,Email,Latin America,MFA Operations,Standard,75,2026-04-12 22:55:00
3854,Authentication failed,"The customer reported that the authentication code is rejected even though it is current. The affected environment is testing, and multiple teams are affected. users can continue by using an alternate process. the issue causes inconvenience but work can continue.",Authentication,Low,Negative,Testing,Phone,Asia Pacific,Identity Support,Enterprise,49,2026-05-11 07:53:00
3855,sso redirect loop,"Please review this issue. the authentication code is rejected even though it is current. The affected environment is development, and hundreds of users may be impacted. the team cannot currently bypass the issue. the issue causes inconvenience but work can continue. the security impact is still being assessed. The exact start time is not yet known. Logs are available if needed.",Authentication,Medium,Negative,Development,API,North America,Identity Support,Standard,25,2024-11-11 21:27:00
3856,configuration guidance,"Please review this issue. documentation is needed for an upcoming implementation. The affected environment is testing, and hundreds of users may be impacted. service can continue with reduced functionality. A restart was attempted without a clear improvement.",General Inquiry,Low,Very Negative,Testing,Email,Asia Pacific,Customer Success,Enterprise,95,2024-06-10 09:25:00
3857,Upgrade problem,"Our support team observed that endpoint controls block the client package. The affected environment is production, and dozens of users are affected. a workaround is available but adds manual steps. several business activities are affected. the issue is currently considered operational. No recent application change has been confirmed.",Software Installation,High,Negative,Production,Web Form,Europe,Platform Engineering,Premium,30,2024-09-11 04:31:00
3858,Long database queries,"The customer reported that several database queries exceed their normal duration. The affected environment is staging, and several users reported the behavior. a workaround is available but adds manual steps. there is little or no immediate business impact. The customer is asking for recommended next steps.",Performance,Low,Neutral,Staging,Web Form,Europe,Application Support,Standard,97,2024-03-11 16:07:00
3859,authentication failed,"We need help investigating. the user receives an invalid credentials message. The affected environment is production, and dozens of users are affected. the impact is manageable at the moment. The behavior can be reproduced.",Authentication,High,Negative,Production,Phone,Middle East,MFA Operations,Enterprise,16,2024-07-22 02:35:00
3860,Authentication failed since yesterday,"the user receives an invalid credentials message. The affected environment is development, and dozens of users are affected. the team cannot currently bypass the issue. the issue is disrupting part of normal operations. the issue is currently considered operational. A restart was attempted without a clear improvement.",Authentication,Medium,Neutral,Development,Chat,Middle East,Identity Support,Standard,64,2024-03-09 06:45:00
3861,long database queries,"Please review this issue. several database queries exceed their normal duration. The affected environment is staging, and a small number of users are affected. a workaround is available but adds manual steps. the request is mainly for planning purposes. Logs are available if needed.",Performance,Low,Negative,Staging,Email,Latin America,Application Support,Standard,76,2025-01-06 21:38:00
3862,Login issue,"The issue appears to be intermittent. the user receives an invalid credentials message. The affected environment is production, and the issue affects users across the organization. a workaround is available but adds manual steps. the request is mainly for planning purposes. The issue was seen before but resolved without a confirmed cause. The behavior can be reproduced.",Authentication,High,Negative,Production,Phone,Asia Pacific,MFA Operations,Standard,12,2024-06-07 21:53:00
3863,User cannot access feature,"The customer reported that group membership appears correct but access is still denied. The affected environment is production, and a small number of users are affected. a workaround is available but adds manual steps. an important business process is delayed. no suspicious activity has been verified. The behavior can be reproduced.",Account Access,High,Negative,Production,Email,North America,Application Support,Enterprise,13,2025-06-08 22:13:00
3864,High network latency,"The issue appears to be intermittent. the application cannot consistently reach the backend service. The affected environment is production, and the issue affects users across the organization. the available workaround does not work consistently. the issue does not currently block normal work.",Network,Critical,Negative,Production,Chat,Middle East,Infrastructure Support,Enterprise,5,2026-04-28 17:03:00
3865,Port connection failure,"We need help investigating. the application cannot consistently reach the backend service. The affected environment is staging, and one test account is affected. the request is mainly for planning purposes. the issue is currently considered operational. The team is still collecting additional details.",Network,Low,Neutral,Staging,Email,Middle East,Network Operations,Enterprise,120,2024-07-19 14:38:00
3866,Unable to verify identity,The issue appears to be intermittent. the authentication code is rejected even though it is current. the team has a temporary workaround. an important business process is delayed. No recent application change has been confirmed.,Authentication,Critical,Negative,Production,Phone,Middle East,Identity Support,Enterprise,3,2025-04-01 00:16:00
3867,Unusual account activity,"Please review this issue. the configuration may not match the current policy. The affected environment is production, and hundreds of users may be impacted. service can continue with reduced functionality. several business activities are affected. the event could require incident response. The team is still collecting additional details.",Security,Critical,Negative,Production,Chat,Europe,Security Operations,Premium,3,2024-10-05 05:40:00
3868,Training material request,Please review this issue. the customer wants clarification about licensing. the team cannot currently bypass the issue. there is little or no immediate business impact. no suspicious activity has been verified. No recent application change has been confirmed.,General Inquiry,Low,Neutral,Testing,API,Asia Pacific,Customer Success,Standard,89,2026-04-11 23:35:00
3869,Privilege change not reflected,"The issue appears to be intermittent. the new account exists but remains inactive. The affected environment is development, and one test account is affected. the team has a temporary workaround. several business activities are affected. A restart was attempted without a clear improvement.",Account Access,Low,Negative,Development,Web Form,Asia Pacific,Access Management,Enterprise,144,2025-03-14 02:09:00
3870,Possible data exposure,"During troubleshooting, we confirmed that several login attempts originated from an unfamiliar address. The affected environment is production, and one user is affected. the team cannot currently bypass the issue. the issue is disrupting part of normal operations. the behavior may require a security review. No recent application change has been confirmed.",Security,Critical,Very Negative,Production,Chat,Latin America,Security Operations,Standard,4,2024-03-23 11:18:00
3871,Role not applied,"The issue appears to be intermittent. the administrator is denied access to one section of the console. The affected environment is production, and several users reported the behavior. no reliable workaround has been identified. the impact is manageable at the moment. The behavior can be reproduced.",Account Access,High,Neutral,Production,Email,Asia Pacific,Application Support,Premium,12,2025-12-28 21:05:00
3872,MFA prompt problem,"The customer reported that the user receives an invalid credentials message. The affected environment is production, and several users reported the behavior. service can continue with reduced functionality. the issue is disrupting part of normal operations. there is no confirmed security impact. The exact start time is not yet known. Logs are available if needed.",Authentication,High,Negative,Production,Web Form,Latin America,Identity Support,Enterprise,14,2026-05-10 03:36:00
3873,Intermittent login failure,We need help investigating. the account locks after repeated attempts. the team cannot currently bypass the issue. the request is mainly for planning purposes. no suspicious activity has been verified. The behavior can be reproduced.,Authentication,Medium,Negative,Testing,Web Form,North America,MFA Operations,Enterprise,29,2025-10-11 00:43:00
3874,High CPU usage,"The issue appears to be intermittent. login succeeds but takes noticeably longer. The affected environment is staging, and a large user group is affected. the available workaround does not work consistently. the issue causes inconvenience but work can continue. there is no confirmed security impact. The customer could not confirm whether all locations are affected.",Performance,High,Negative,Staging,API,North America,Performance Engineering,Enterprise,14,2024-02-12 13:01:00
3875,Rollback during upgrade,"The customer reported that the installer reports a permissions-related error. The affected environment is production, and most users are affected. the team cannot currently bypass the issue. the issue is disrupting part of normal operations. there is no confirmed security impact. The team is still collecting additional details.",Software Installation,Critical,Negative,Production,Web Form,Latin America,Application Support,Standard,8,2026-06-02 03:57:00
3876,possible data exposure,"Please review this issue. the certificate is close to expiry or is no longer trusted. The affected environment is production, and dozens of users are affected. a workaround is available but adds manual steps. the issue causes inconvenience but work can continue. security monitoring indicates elevated risk. The behavior can be reproduced.",Security,Critical,Negative,Production,Web Form,Middle East,Cybersecurity,Premium,9,2024-11-11 03:24:00
3877,suspicious login activity,"The issue appears to be intermittent. the configuration may not match the current policy. The affected environment is testing, and multiple teams are affected. service can continue with reduced functionality. a critical business process is unavailable. the issue may expose sensitive information. A restart was attempted without a clear improvement.",Security,Critical,Negative,Testing,Web Form,Asia Pacific,Security Operations,Standard,2,2024-12-15 15:54:00
3878,intermittent connectivity,"Our support team observed that DNS returns different results from separate servers. The affected environment is production, and multiple teams are affected. a workaround is available but adds manual steps. the impact is manageable at the moment. the issue is currently considered operational. The customer is asking for recommended next steps.",Network,High,Very Negative,Production,Web Form,Latin America,Network Operations,Enterprise,20,2026-02-28 07:58:00
3879,High CPU usage,"Our support team observed that performance changed after a recent update. The affected environment is development, and a single administrator is affected. a workaround is available but adds manual steps. operations are severely disrupted. The team is still collecting additional details.",Performance,Low,Neutral,Development,Email,Europe,Performance Engineering,Standard,134,2024-08-08 06:12:00
3880,MFA prompt problem,"Our support team observed that the user receives an invalid credentials message. The affected environment is staging, and one test account is affected. the available workaround does not work consistently. the impact is manageable at the moment. the behavior may require a security review.",Authentication,Medium,Neutral,Staging,API,Middle East,MFA Operations,Enterprise,40,2026-03-21 05:49:00
3881,Service will not start since yesterday,"We need help investigating. the installer reports a permissions-related error. The affected environment is production, and a large user group is affected. service can continue with reduced functionality. the issue causes inconvenience but work can continue. there is no confirmed security impact. No recent application change has been confirmed.",Software Installation,High,Positive,Production,Chat,North America,Platform Engineering,Premium,16,2025-01-15 01:14:00
3882,Service becomes unresponsive in one location,"several database queries exceed their normal duration. The affected environment is production, and a single administrator is affected. the available workaround does not work consistently. a limited workflow is delayed. Logs are available if needed.",Performance,High,Neutral,Production,Web Form,Middle East,Performance Engineering,Standard,20,2025-08-28 06:49:00
3883,Connection timeout,"The issue appears to be intermittent. the application cannot consistently reach the backend service. The affected environment is development, and dozens of users are affected. a workaround is available but adds manual steps. operations are severely disrupted. no suspicious activity has been verified. A restart was attempted without a clear improvement.",Network,Medium,Negative,Development,Chat,North America,Network Operations,Premium,35,2025-12-07 06:26:00
3884,Reports take too long,"The issue appears to be intermittent. several database queries exceed their normal duration. The affected environment is development, and multiple teams are affected. normal operations cannot continue through an alternate path. there is little or no immediate business impact. there is no confirmed security impact. The team is still collecting additional details.",Performance,Medium,Negative,Development,Email,Europe,Performance Engineering,Premium,36,2024-06-01 18:00:00
3885,Certificate warning,"Please review this issue. logs suggest that information may have been exposed. The affected environment is production, and a small number of users are affected. normal operations cannot continue through an alternate path. the impact is manageable at the moment. the issue may expose sensitive information. The behavior can be reproduced.",Security,Critical,Negative,Production,Web Form,North America,Cybersecurity,Standard,10,2025-09-01 17:50:00
3886,service will not start,"During troubleshooting, we confirmed that the setup fails on one server while succeeding on another. The affected environment is disaster recovery, and a small number of users are affected. no reliable workaround has been identified. the issue is disrupting part of normal operations. no suspicious activity has been verified. The customer is asking for recommended next steps.",Software Installation,Critical,Negative,Disaster Recovery,Chat,Europe,Application Support,Standard,3,2024-07-25 17:54:00
3887,Package setup error,"During troubleshooting, we confirmed that the application installs but one service remains stopped. The affected environment is production, and dozens of users are affected. the available workaround does not work consistently. the impact is manageable at the moment. there is a possible compliance concern. No recent application change has been confirmed.",Software Installation,High,Negative,Production,Chat,Middle East,Application Support,Enterprise,6,2025-08-23 04:39:00
3888,api connectivity issue,"The customer reported that the application cannot consistently reach the backend service. The affected environment is production, and one test account is affected. the team has a temporary workaround. a limited workflow is delayed. A restart was attempted without a clear improvement.",Network,High,Very Negative,Production,Web Form,Middle East,Infrastructure Support,Enterprise,25,2025-05-21 16:28:00
3889,Service will not start,"The customer reported that the installer reports a permissions-related error. The affected environment is production, and dozens of users are affected. normal operations cannot continue through an alternate path. the issue is disrupting part of normal operations. The behavior can be reproduced.",Software Installation,Critical,Very Negative,Production,Web Form,North America,Application Support,Premium,2,2024-03-04 22:57:00
3890,Policy compliance concern,"The customer reported that logs suggest that information may have been exposed. The affected environment is production, and a large user group is affected. a workaround is available but adds manual steps. the impact is manageable at the moment. the event could require incident response.",Security,Critical,Negative,Production,Web Form,Europe,Cybersecurity,Premium,5,2025-02-14 00:48:00
3891,Access request pending,"During troubleshooting, we confirmed that permissions disappeared after a profile update. The affected environment is production, and multiple teams are affected. a workaround is available but adds manual steps. No recent application change has been confirmed.",Account Access,High,Negative,Production,Phone,North America,Access Management,Enterprise,9,2024-02-16 19:59:00
3892,Memory usage increasing since yesterday,"memory consumption grows until the service is restarted. The affected environment is production, and a single administrator is affected. the available workaround does not work consistently. an important business process is delayed. The behavior can be reproduced.",Performance,High,Negative,Production,Chat,Middle East,Performance Engineering,Standard,16,2025-02-17 16:56:00
3893,Installation failed,"The issue appears to be intermittent. the patch reports that the current version is unsupported. The affected environment is production, and one test account is affected. service can continue with reduced functionality. a limited workflow is delayed. there is no confirmed security impact. Logs are available if needed.",Software Installation,Medium,Negative,Production,Web Form,Asia Pacific,Application Support,Enterprise,40,2026-04-18 14:24:00
3894,api connectivity issue,"During troubleshooting, we confirmed that latency increased after a routing change. The affected environment is production, and multiple teams are affected. the team has a temporary workaround. several business activities are affected. The customer could not confirm whether all locations are affected. The team is still collecting additional details.",Network,High,Negative,Production,API,Asia Pacific,Network Operations,Standard,11,2024-02-15 08:50:00
3895,Admin console access denied,"During troubleshooting, we confirmed that the access request was approved but has not propagated. The affected env is production, and the issue affects users across the organization. the available workaround does not work consistently. an important business process is delayed. The team is still collecting additional details.",Account Access,Critical,Negative,Production,Chat,Asia Pacific,Application Support,Standard,4,2025-02-24 23:28:00
3896,Rollback during upgrade,"the installer stops before completing all steps. The affected environment is production, and a small number of users are affected. a limited workflow is delayed. The customer is asking for recommended next steps.",Software Installation,High,Neutral,Production,Web Form,Asia Pacific,Platform Engineering,Premium,6,2024-07-24 03:11:00
3897,User cannot access feature,The issue appears to be intermittent. the new account exists but remains inactive. the team cannot currently bypass the issue. the outage is preventing essential work. Logs are available if needed.,Account Access,Critical,Very Negative,Production,API,Europe,Application Support,Standard,8,2024-03-22 08:56:00
3898,Long database queries,"Our support team observed that normal requests take much longer than they did previously. The affected environment is production, and one user is affected. service can continue with reduced functionality. the issue does not currently block normal work. The team is still collecting additional details.",Performance,Low,Neutral,Production,Web Form,Europe,Application Support,Standard,88,2026-04-09 14:57:00
3899,Authentication failed,"During troubleshooting, we confirmed that the identity provider response is delayed. The affected environment is development, and one user is affected. service can continue with reduced functionality. the issue causes inconvenience but work can continue. The team is still collecting additional details.",Authentication,Low,Neutral,Development,Web Form,Middle East,MFA Operations,Standard,29,2024-08-05 03:18:00
3900,Group membership issue,"Our support team observed that group membership appears correct but access is still denied. The affected environment is disaster recovery, and dozens of users are affected. a workaround is available but adds manual steps. operations are severely disrupted.",Account Access,Critical,Negative,Disaster Recovery,Email,North America,Access Management,Enterprise,6,2025-02-07 19:34:00
3901,Certificate warning,"The issue appears to be intermittent. a scanner reported a finding that requires review. The affected environment is testing, and a single administrator is affected. the issue is disrupting part of normal operations. there is no confirmed security impact. Initial troubleshooting results are inconclusive. A restart was attempted without a clear improvement.",Security,Low,Negative,Testing,Email,Latin America,Security Operations,Standard,55,2026-01-14 04:08:00
3902,License clarification,"Please review this issue. best-practice recommendations are requested. The affected environment is development, and one user is affected. no reliable workaround has been identified. the impact is manageable at the moment. The exact start time is not yet known.",General Inquiry,Low,Positive,Development,API,North America,Customer Success,Premium,84,2024-07-20 10:43:00
3903,User cannot access feature,"The issue appears to be intermittent. permissions disappeared after a profile update. The affected environment is production, and a small number of users are affected. the available workaround does not work consistently. the issue is disrupting part of normal operations. the issue is currently considered operational. The team is still collecting additional details.",Account Access,High,Negative,Production,Phone,Latin America,Access Management,Premium,17,2025-02-15 18:12:00
3904,Upgrade problem - follow up,"During troubleshooting, we confirmed that the installer reports a permissions-related error. The affected environment is production, and most users are affected. no reliable workaround has been identified. the issue is disrupting part of normal operations. A restart was attempted without a clear improvement.",Software Installation,Critical,Negative,Production,Email,Middle East,Application Support,Premium,10,2026-01-06 21:31:00
3905,Delayed login,"During troubleshooting, we confirmed that memory consumption grows until the service is restarted. The affected environment is production, and a single administrator is affected. the available workaround does not work consistently. a limited workflow is delayed. no suspicious activity has been verified.",Performance,High,Very Negative,Production,Chat,Latin America,Application Support,Enterprise,11,2024-02-21 04:21:00
